dataset,tipo_analisis,grupo,variable,valor
desarrollo,nulos_absolutos_por_pais,BRA,year,0
desarrollo,nulos_absolutos_por_pais,BRB,country_code,0
desarrollo,nulos_absolutos_por_pais,BRB,crecimiento_poblacion_rural,1
desarrollo,nulos_absolutos_por_pais,BRB,deflactor_inflacion_gdp,1
desarrollo,nulos_absolutos_por_pais,BRB,densidad_poblacion,2
desarrollo,nulos_absolutos_por_pais,BRB,gdp_per_capita,0
desarrollo,nulos_absolutos_por_pais,BRB,hdi,57
desarrollo,nulos_absolutos_por_pais,BRB,poblacion_rural,0
desarrollo,nulos_absolutos_por_pais,BRB,tasa_mortalidad_infantil,1
desarrollo,nulos_absolutos_por_pais,BRB,tasa_natalidad,1
desarrollo,nulos_absolutos_por_pais,BRB,tasa_pobreza,64
